dataset,x,y
clase1,55.3846,97.1795
clase1,51.5385,96.0256
clase1,46.1538,94.4872
clase1,42.8205,91.4103
clase1,40.7692,88.3333
clase1,38.7179,84.8718
clase1,35.641,79.8718
clase1,33.0769,77.5641
clase1,28.9744,74.4872
clase1,26.1538,71.4103
clase1,23.0769,66.4103
clase1,22.3077,61.7949
clase1,22.3077,57.1795
clase1,23.3333,52.9487
clase1,25.8974,51.0256
clase1,29.4872,51.0256
clase1,32.8205,51.0256
clase1,35.3846,51.4103
clase1,40.2564,51.4103
clase1,44.1026,52.9487
clase1,46.6667,54.1026
clase1,50.0,55.2564
clase1,53.0769,55.641000000000005
clase1,56.6667,56.0256
clase1,59.2308,57.9487
clase1,61.2821,62.1795
clase1,61.5385,66.4103
clase1,61.7949,69.1026
clase1,57.4359,55.2564
clase1,54.8718,49.8718
clase1,52.5641,46.0256
clase1,48.2051,38.3333
clase1,49.4872,42.1795
clase1,51.0256,44.1026
clase1,45.3846,36.4103
clase1,42.8205,32.5641
clase1,38.7179,31.4103
clase1,35.1282,30.2564
clase1,32.5641,32.1795
clase1,30.0,36.7949
clase1,33.5897,41.4103
clase1,36.6667,45.641000000000005
clase1,38.2051,49.1026
clase1,29.7436,36.0256
clase1,29.7436,32.1795
clase1,30.0,29.1026
clase1,32.0513,26.7949
clase1,35.8974,25.2564
clase1,41.0256,25.2564
clase1,44.1026,25.641
clase1,47.1795,28.718000000000004
clase1,49.4872,31.4103
clase1,51.5385,34.8718
clase1,53.5897,37.5641
clase1,55.1282,40.641
clase1,56.6667,42.1795
clase1,59.2308,44.4872
clase1,62.3077,46.0256
clase1,64.8718,46.7949
clase1,67.9487,47.9487
clase1,70.5128,53.718
clase1,71.5385,60.641000000000005
clase1,71.5385,64.4872
clase1,69.4872,69.4872
clase1,46.9231,79.8718
clase1,48.2051,84.1026
clase1,50.0,85.2564
clase1,53.0769,85.2564
clase1,55.3846,86.0256
clase1,56.6667,86.0256
clase1,56.1538,82.9487
clase1,53.8462,80.641
clase1,51.2821,78.718
clase1,50.0,78.718
clase1,47.9487,77.5641
clase1,29.7436,59.8718
clase1,29.7436,62.1795
clase1,31.2821,62.5641
clase1,57.9487,99.4872
clase1,61.7949,99.1026
clase1,64.8718,97.5641
clase1,68.4615,94.1026
clase1,70.7692,91.0256
clase1,72.0513,86.4103
clase1,73.8462,83.3333
clase1,75.1282,79.1026
clase1,76.6667,75.2564
clase1,77.6923,71.4103
clase1,79.7436,66.7949
clase1,81.7949,60.2564
clase1,83.3333,55.2564
clase1,85.1282,51.4103
clase1,86.4103,47.5641
clase1,87.9487,46.0256
clase1,89.4872,42.5641
clase1,93.3333,39.8718
clase1,95.3846,36.7949
clase1,98.2051,33.718
clase1,56.6667,40.641
clase1,59.2308,38.3333
clase1,60.7692,33.718
clase1,63.0769,29.1026
clase1,64.1026,25.2564
clase1,64.359,24.1026
clase1,74.359,22.9487
clase1,71.2821,22.9487
clase1,67.9487,22.1795
clase1,65.8974,20.2564
clase1,63.0769,19.1026
clase1,61.2821,19.1026
clase1,58.7179,18.3333
clase1,55.1282,18.3333
clase1,52.3077,18.3333
clase1,49.7436,17.5641
clase1,47.4359,16.0256
clase1,44.8718,13.718
clase1,48.7179,14.8718
clase1,51.2821,14.8718
clase1,54.1026,14.8718
clase1,56.1538,14.1026
clase1,52.0513,12.5641
clase1,48.7179,11.0256
clase1,47.1795,9.8718
clase1,46.1538,6.0256
clase1,50.5128,9.4872
clase1,53.8462,10.2564
clase1,57.4359,10.2564
clase1,60.0,10.640999999999998
clase1,64.1026,10.640999999999998
clase1,66.9231,10.640999999999998
clase1,71.2821,10.640999999999998
clase1,74.359,10.640999999999998
clase1,78.2051,10.640999999999998
clase1,67.9487,8.718
clase1,68.4615,5.2564
clase1,68.2051,2.9487
clase1,37.6923,25.7692
clase1,39.4872,25.3846
clase1,91.2821,41.5385
clase1,50.0,95.7692
clase1,47.9487,95.0
clase1,44.1026,92.6923
clase2,58.2136082599,91.881891513
clase2,58.1960536923,92.21498864819999
clase2,58.7182307185,90.31053208700001
clase2,57.27837287,89.9076067166
clase2,58.082020494,92.00814501010001
clase2,57.4894477748,88.08528556290001
clase2,28.088741319,63.5107944263
clase2,28.085468213600002,63.5901969481
clase2,28.087273053,63.1232828116
clase2,27.578025217600004,62.821038656599995
clase2,27.7799191139,63.518147516999996
clase2,28.5889998149,63.0240805653
clase2,28.7391414969,62.7208638859
clase2,27.024603240700003,62.9018588649
clase2,28.8013366963,63.389040388000005
clase2,27.186463838,63.5587296478
clase2,29.2851466002,63.3836058254
clase2,39.4029453026,51.1508571967
clase2,28.8113284396,61.3578540576
clase2,34.3039579069,56.542125909300005
clase2,29.6027609801,60.157346722
clase2,49.116156860299995,63.6600006211
clase2,39.6175458263,62.9251879574
clase2,43.23308466,63.1652187223
clase2,64.8927879422,65.81417675739999
clase2,62.4901493154,74.5842896072
clase2,68.98808442939999,63.232147305
clase2,62.105618630600006,75.99087075989999
clase2,32.4618467439,62.8819029189
clase2,41.3272006535,49.070251273900006
clase2,44.007149932299995,46.4496737846
clase2,44.0740606888,34.5532038906
clase2,44.00131523859999,33.9042073544
clase2,45.0063004454,38.2990195507
clase2,44.4438406096,36.0190833012
clase2,42.1787133986,26.492119482
clase2,44.0445656189,35.6622382764
clase2,41.6404540171,27.093095421300003
clase2,41.9383300069,24.991522979299997
clase2,44.0539275103,33.556392494899995
clase2,39.2067193308,51.5337156971
clase2,28.7044492315,61.777525400600005
clase2,31.7086628996,58.837754374
clase2,42.8117114739,30.0204484197
clase2,43.300614891,31.5264261979
clase2,40.3986329069,16.3470083822
clase2,40.4356915763,20.232670676199998
clase2,40.9365466658,16.913004836400003
clase2,39.661573665300004,15.609355577
clase2,40.899259175,20.7985289466
clase2,41.9686168283,26.497072598499997
clase2,40.383405823800004,21.3912255247
clase2,56.538126453800004,32.4442454697
clase2,52.9706912828,29.040196694099997
clase2,54.6209525885,30.3445244537
clase2,65.0990443941,27.2415575588
clase2,63.055990907600005,29.7090956748
clase2,70.9601362323,41.2595012867
clase2,69.8958192404,43.453759265500004
clase2,70.5958928563,41.9647438672
clase2,69.64702142729999,44.044445022
clase2,77.392982494,63.371459055200006
clase2,64.4007871926,67.44871844720001
clase2,63.8689598271,70.2137388333
clase2,56.5944213157,86.9270062202
clase2,56.5313372853,87.49981107129999
clase2,59.652158369700004,87.80946159209999
clase2,56.6365087005,85.637495556
clase2,58.6722880025,90.07716030700001
clase2,58.221612726400004,90.4110187715
clase2,57.914664476800006,89.95380276770001
clase2,55.315509058100005,80.2518606944
clase2,54.575728587700006,77.5362884724
clase2,54.4130936504,78.2290865878
clase2,55.0745059041,79.8175464166
clase2,29.432960515599998,60.8017765444
clase2,29.422686066500003,63.0684648229
clase2,29.005614157600004,63.390751333400004
clase2,58.4618385916,90.2653263904
clase2,57.997804738999996,92.1599086113
clase2,57.5494740761,90.74890655809999
clase2,59.5299284566,88.3272741451
clase2,58.249391063100006,92.1296814778
clase2,58.0245140126,91.6944211685
clase2,58.3821244904,90.5534760692
clase2,62.5667590405,77.7439347591
clase2,72.1758243064,63.128929417600006
clase2,79.4727615693,63.4086861199
clase2,80.3577008812,63.2954375404
clase2,78.7572361375,53.3326200111
clase2,82.5402395934,56.5410522935
clase2,86.43589719090001,59.7927618087
clase2,79.4886844186,53.651674264099995
clase2,81.5304203188,56.0253645659
clase2,79.1867885665,53.2347918468
clase2,77.8990579454,51.8224583343
clase2,75.1307142075,23.3724419733
clase2,76.0580137544,16.383749688199998
clase2,57.614674387600004,33.8224476502
clase2,56.1713975295,32.1179887719
clase2,66.2878905956,26.117109745300002
clase2,67.8817196169,24.2360184109
clase2,64.0280813016,27.6726855125
clase2,77.4966517463,14.9485235577
clase2,77.6346517616,14.461853927
clase2,77.86372642890001,14.610677649100001
clase2,77.3381581659,15.890054658
clase2,76.1804165329,15.9125737458
clase2,77.2526510945,15.1515170246
clase2,77.4133752817,15.221927976199998
clase2,76.7318493982,16.2168461441
clase2,49.4711054118,25.063019306199998
clase2,42.4765399431,18.338473563599997
clase2,43.595115862200004,19.9942009773
clase2,50.3399696652,26.4713966117
clase2,40.748980256100005,16.1821416622
clase2,38.3865255803,14.5802151464
clase2,38.4040152085,14.4519484496
clase2,38.7642788913,14.365590474400001
clase2,41.4701423265,17.2780334445
clase2,47.1554048146,22.3779325323
clase2,39.5825667453,17.6484528361
clase2,41.7402438167,17.8293243101
clase2,39.3118718889,15.6407169743
clase2,41.6798476925,17.7459190133
clase2,39.0874644519,15.1223039378
clase2,41.4815028637,18.0474374446
clase2,77.6060865492,15.162872538299998
clase2,75.9826615205,16.3069223786
clase2,76.94575724239999,15.858478334
clase2,77.5437200743,15.253949149
clase2,77.5847398447,15.8300393854
clase2,76.8223042562,15.595165319500001
clase2,77.3485716647,15.7745292395
clase2,77.5731526867,14.7806458332
clase2,77.9726106776,14.9556987461
clase2,41.528919758600004,24.9164251896
clase2,43.722550803400004,19.0773278036
clase2,79.32607817510001,52.9003912897
clase2,56.663974081499994,87.9401250067
clase2,57.8217892319,90.6931665489
clase2,58.2431718991,92.1043278652
